State,City,E_Black,E_White,O_Black,O_White,V_Black,V_White,n_Black,n_White,smr_Black,z_Black,smr_White,z_White,rho,rho_var,d_z,n_both,black_share_both,min_race_n
Florida,Pasco,10.925628844040704,92.87238176331775,11.0,61.0,8.65090953684042,68.41454928461053,60.0,422.0,1.006509152097837,0.02528562230502065,0.6586530067947873,-3.853366199886026,0.42404648727911265,0.08040363753199699,3.8786518221910464,482.0,0.12448132780082988,20
Florida,Pinellas,138.7543050396383,279.03805327230083,111.0,227.0,100.51187696866076,189.00387471057317,550.0,987.0,0.8006933786949127,-2.768354263872222,0.8138426855909666,-3.7851725990943277,-0.016289010731720455,0.007648062391025084,1.0168183352221059,1537.0,0.357839947950553,20
Florida,Polk,78.79833089211205,163.3561856400126,70.0,163.0,57.58144822655372,113.57437519453244,352.0,652.0,0.8890477164761202,-1.1594686199698783,0.9978262301260014,-0.03342229193179083,-0.11542823464109295,0.01352967817575632,-1.1260463280380875,1004.0,0.350597609561753,20
Florida,Putnam,17.439646712191514,21.6882059504609,16.0,25.0,12.494095705912738,15.523609914729223,77.0,93.0,0.9197505538828057,-0.4072897827890733,1.1492592081096267,0.840556596938802,-0.22277035073661228,0.07408230346940228,-1.2478463797278754,170.0,0.45294117647058824,20
Florida,Sarasota,26.572700703412856,70.73413487044368,34.0,53.0,19.541822289028403,50.01199942294033,114.0,283.0,1.274346448769732,1.68015131108742,0.751044426907164,-2.5076845154539162,0.5287239299589144,0.03767115179484446,4.1878358265413365,397.0,0.2871536523929471,20
Florida,Seminole,34.18299636239407,66.76162461936813,29.0,58.0,24.81723173940044,46.3944003923954,146.0,262.0,0.8505608826804287,-1.0404093248715929,0.869738135691043,-1.2863284032411946,-0.022296179034288034,0.03164801802123478,0.2459190783696017,408.0,0.35784313725490197,20
Florida,St. Johns,9.750868064696894,33.27715337745087,5.0,28.0,6.896252960151945,23.213317311607934,43.0,137.0,0.536539926695723,-1.8091158484087122,0.8437655974593222,-1.095295019582802,-0.45273374791023835,0.09349408064065172,-0.7138208288259102,180.0,0.2388888888888889,20
Florida,St. Lucie,78.2091254309414,62.31164293341185,83.0,50.0,53.38866816000517,41.65472412472411,274.0,212.0,1.0608680955712317,0.6556774642296619,0.8039910698329652,-1.907584918368714,0.27725464808463196,0.019456566931300455,2.563262382598376,486.0,0.5637860082304527,20
Florida,Sumter,4.648232114020478,9.251225037748444,7.0,5.0,3.389191613878584,7.118049893549983,21.0,47.0,1.456810771910384,1.2774573049391955,0.5640316963980095,-1.593432170014641,0.9488944734072087,0.24003219990325442,2.8708894749538363,68.0,0.3088235294117647,20
Florida,Taylor,5.98372625353273,6.38795157734273,3.0,4.0,4.740468221872555,4.799878109965353,30.0,30.0,0.5398130431698881,-1.3704031739955826,0.6533146973335769,-1.0899596267901408,-0.1908360754006562,0.25002388513253504,-0.28044354720544185,60.0,0.5,20
Florida,Volusia,53.70641706625248,128.05812473203855,56.0,106.0,38.73869616361025,90.7854937714746,220.0,509.0,1.0423120187217731,0.3685037813560881,0.8284190534202671,-2.3150499090462606,0.22967749011805116,0.0189665919620224,2.6835536904023485,729.0,0.3017832647462277,20
Georgia,Baldwin,12.990534317737431,4.28825296421038,10.0,5.0,9.787321074644455,3.1917319897871796,60.0,21.0,0.7783235083724253,-0.9559097089944373,1.1486444097898643,0.39839369707432687,-0.3891954936817827,0.2315639582903847,-1.3543034060687642,81.0,0.7407407407407407,20
Georgia,Bibb,144.05003002952793,36.71356433530802,98.0,33.0,104.74998052445744,26.481234434310903,590.0,146.0,0.6814249708552736,-4.499382784499549,0.900209388656044,-0.7216420626578302,-0.278441239373894,0.024694588796848715,-3.7777407218417185,736.0,0.8016304347826086,20
Georgia,Bulloch,7.7276556086982255,3.809604441931284,5.0,1.0,6.102933163992128,2.980994198409283,42.0,20.0,0.6684771776525789,-1.104130047739869,0.34805978604565335,-1.6272887252978319,0.6526279923216158,0.3075986008546212,0.5231586775579629,62.0,0.6774193548387096,20
Georgia,Camden,5.561285379457732,4.526097640585406,5.0,5.0,4.176170523126878,3.57582610212209,28.0,24.0,0.9073982918936665,-0.27465949543602053,1.0942883312866554,0.2506113152798133,-0.1872780203818574,0.30958274814226827,-0.5252708107158338,52.0,0.5384615384615384,20
Georgia,Carroll,7.298323194980899,15.405282989044338,2.0,8.0,6.146694698284792,11.996177419618455,53.0,89.0,0.32058173757264025,-2.1370644761927653,0.5344136288461422,-2.138061628717016,-0.5110328497039609,0.1659451967685339,0.0009971525242509216,142.0,0.3732394366197183,20
Georgia,Chatham,261.7575097014731,89.04065106492038,267.0,88.0,174.45623365793153,57.595401263249094,866.0,282.0,1.0199898576955695,0.39691214625518073,0.9883778925823773,-0.13712329129098313,0.03148285580220515,0.00981076542979599,0.5340354375461639,1148.0,0.7543554006968641,20
Georgia,Clarke,40.637302710232284,21.17475182785824,29.0,21.0,26.63937099614019,14.135231625451468,135.0,71.0,0.7171107013941952,-2.254708220756212,0.9919375396200092,-0.04648044339929962,-0.32442991727799436,0.04765729142232218,-2.208227777356912,206.0,0.6553398058252428,20
Georgia,Clayton,87.01470230244597,52.95163337446169,108.0,71.0,62.75027783585639,37.5952077498696,350.0,213.0,1.2397916823738941,2.64915462603193,1.3376579065245464,2.943551644549509,-0.07597688635419346,0.02169593191140412,-0.29439701851757905,563.0,0.6216696269982238,20
Georgia,Cobb,65.60283028592106,87.80997698085616,71.0,79.0,46.36565291083881,60.76528785026539,254.0,322.0,1.0816480881489345,0.7926252164202767,0.9002380333224864,-1.1301783768581972,0.18358195467256244,0.018654116475607545,1.922803593278474,576.0,0.4409722222222222,20
Georgia,Coffee,9.562513440324466,7.994833043500849,12.0,13.0,7.595052144286696,6.201710010509909,60.0,44.0,1.2422343656116337,0.8844572570944408,1.5892013334303796,2.009846275042434,-0.24631991813553428,0.18008600144729375,-1.1253890179479935,104.0,0.5769230769230769,20
Georgia,Colquitt,18.682701213376664,10.21421080169848,10.0,11.0,14.203249667135427,7.529356216433628,89.0,44.0,0.5473681669335516,-2.3038860539176675,1.0733408379623213,0.28636974477312344,-0.6734097000293583,0.11286052743463021,-2.590255798690791,133.0,0.6691729323308271,20
Georgia,Columbia,2.809362419017654,6.508505040039317,0.0,5.0,2.2864627066299428,5.307513448634536,20.0,44.0,0.15108650449605915,-1.8579144284215336,0.7847607968573488,-0.6547887571462175,-1.647526403726838,0.4149935805029862,-1.2031256712753162,64.0,0.3125,20
Georgia,Coweta,9.066180346658642,10.434887595996239,5.0,10.0,7.2607294848066,7.89127136996569,51.0,52.0,0.5749421190790206,-1.5090252568757907,0.9602293492111001,-0.15481161154324422,-0.5129027880974786,0.16080693988007577,-1.3542136453325464,103.0,0.49514563106796117,20
Georgia,Crisp,12.40061866785053,6.0350791340857235,13.0,9.0,9.24307402799511,3.9467769877680836,60.0,21.0,1.0464614409263318,0.1971491899471094,1.4536931848996006,1.4924225856066755,-0.3286929258540282,0.16846955627024007,-1.2952733956595661,81.0,0.7407407407407407,20
Georgia,De Kalb,429.34096848566617,126.13202592047804,402.0,131.0,302.387665300831,88.78806244523288,1609.0,472.0,0.9363928278358653,-1.5722871258631401,1.0384418873830459,0.516619705693075,-0.10344160723306003,0.007221331241434582,-2.088906831556215,2081.0,0.7731859682844786,20
Georgia,Decatur,7.616076612182863,3.303581643156415,4.0,4.0,5.97199856536356,2.7335009184392978,48.0,22.0,0.5544550914225169,-1.479713975909031,1.1830954143173484,0.4212215656717393,-0.7579037010716162,0.3534234912778004,-1.9009355415807703,70.0,0.6857142857142857,20
Georgia,Dougherty,94.91431133686427,25.326154505332124,52.0,19.0,65.73619220327322,16.919998638740044,350.0,84.0,0.5502319229098298,-5.292975402307281,0.7550485302011953,-1.5379408504234897,-0.3164421582322365,0.033676158254610476,-3.7550345518837913,434.0,0.8064516129032258,20
Georgia,Douglas,6.80822590650104,16.75584387223726,7.0,19.0,5.467625472492818,12.92459522574188,43.0,88.0,1.0262408546140271,0.08201448449835505,1.1300519490312113,0.6242299365159704,-0.09636113397688459,0.16399353138071499,-0.5422154520176153,131.0,0.3282442748091603,20
Georgia,Floyd,18.917888027705402,29.513704048392704,7.0,15.0,14.0457052676289,20.653910539165977,84.0,115.0,0.386241798763028,-3.1800029675405277,0.5164307602623295,-3.1935749808846174,-0.29047762892363393,0.06295752973796884,0.01357201334408975,199.0,0.4221105527638191,20
Georgia,Fulton,1618.94136391743,295.5796847778567,2425.0,428.0,1077.0157397431597,194.6033605064171,5365.0,957.0,1.4977386980734602,24.56154095067021,1.4472455289240662,9.492474727640731,0.03429432140439816,0.002638337561487731,15.069066223029479,6322.0,0.8486238532110092,20
Georgia,Glynn,23.006524921343278,18.410597885467716,18.0,11.0,17.03349505194856,13.749628891579144,107.0,90.0,0.7870155227922486,-1.2130661886885137,0.6081246119054459,-1.9985165999281402,0.25786815747042646,0.07274650850683259,0.7854504112396266,197.0,0.5431472081218274,20
Georgia,Gwinnett,62.70930711840134,92.10342030506209,67.0,114.0,43.54829786654133,66.20049535868789,235.0,370.0,1.0678807137303608,0.6501923230660352,1.2364554097764893,2.691198069544323,-0.14657270264816485,0.018877932403614284,-2.041005746478288,605.0,0.3884297520661157,20
Georgia,Hall,5.571914404902423,25.591240064779157,8.0,23.0,4.608393985252495,19.748204735183144,38.0,147.0,1.3998879814802982,1.131069240550222,0.9006854385477407,-0.5831010714512098,0.44099142733195773,0.17859050991863928,1.714170312001432,185.0,0.20540540540540542,20
Georgia,Henry,11.40721002932171,13.921747852882836,11.0,8.0,8.513103510239755,9.954995479243394,54.0,61.0,0.9658013902233228,-0.139564353729448,0.5893876447368959,-1.8768491918043624,0.49387410524877057,0.11678616005383453,1.7372848380749144,115.0,0.46956521739130436,20
Georgia,Houston,16.92174756972771,19.12054181888768,14.0,13.0,13.587854855631875,14.900480008467055,101.0,101.0,0.8322930832263589,-0.79262404313426,0.6880543934319004,-1.5855857718834971,0.1903167472551763,0.08820943087507424,0.7929617287492371,202.0,0.5,20
Georgia,Jackson,4.905173802105762,6.892361167043745,5.0,2.0,3.477474681824698,5.601693825558663,24.0,45.0,1.0175435982941559,0.0508506313358521,0.3381869396675821,-2.0670873368687093,1.1015479463126425,0.26244793091082474,2.1179379682045614,69.0,0.34782608695652173,20
Georgia,Laurens,12.17016565243716,5.4980770234162,8.0,2.0,9.46106833421933,4.023802019031235,63.0,23.0,0.670867314064279,-1.3557612512480586,0.4168002495199915,-1.743857790215149,0.47596428475208263,0.19698870775249927,0.3880965389670905,86.0,0.7325581395348837,20
Georgia,Liberty,13.613340285937026,5.841240857081811,10.0,4.0,10.551290775509939,4.312830845970187,77.0,31.0,0.7439769599024356,-1.1123874162712535,0.7096402898770927,-0.8866033967388368,0.04725185880342807,0.18333607998912163,-0.22578401953241667,108.0,0.7129629629629629,20
Georgia,Lowndes,34.89864323704065,16.39016809504936,35.0,20.0,26.440925118772313,11.871350580630189,172.0,69.0,1.002863295134806,0.019711261015081416,1.2137238590306694,1.0476999272655745,-0.19083399931919803,0.06590093452559277,-1.0279886662504931,241.0,0.7136929460580913,20
Georgia,Muscogee,125.52208738611331,48.00090117118463,77.0,44.0,88.23540890461902,33.72069054126981,477.0,183.0,0.6149715625845118,-5.165567301816611,0.9175087251046451,-0.6889847255252362,-0.40008606249689904,0.020235354719107555,-4.476582576291375,660.0,0.7227272727272728,20
Georgia,Newton,13.788839665019244,10.622733871844359,9.0,11.0,11.084189777946278,8.035730909549924,86.0,54.0,0.6648545454154066,-1.438395514926065,1.0339184711692724,0.13308684276384142,-0.4415429159283313,0.1295092434765333,-1.5714823576899064,140.0,0.6142857142857143,20
Georgia,Richmond,97.92199848146092,37.811707876319765,182.0,65.0,80.21942962577083,29.848810022858398,646.0,222.0,1.8542602549812712,9.387341026766787,1.709660143876936,4.976435924977065,0.08119122765597632,0.02924332749332717,4.410905101789722,868.0,0.7442396313364056,20
Georgia,Rockdale,8.272068313861629,6.6013336117457335,4.0,7.0,6.438882451503615,4.977271871540601,47.0,37.0,0.5129919009966095,-1.6835768310403585,1.0561396506699623,0.17869563322093052,-0.7221156429600601,0.20831468452480373,-1.862272464261289,84.0,0.5595238095238095,20
Georgia,Spalding,28.97468010040785,12.9024603543644,14.0,8.0,21.223223144517863,9.529853562379765,129.0,55.0,0.4919476632351765,-3.2505128204189306,0.6342119114892248,-1.5880748817103778,-0.2540108085450993,0.08252529834716059,-1.6624379387085528,184.0,0.7010869565217391,20
Georgia,Stephens,3.5413224771828324,5.855650219090529,3.0,1.0,2.843662473318372,4.236582181185144,21.0,24.0,0.866053134774787,-0.3210088731860582,0.23601047072956208,-2.3590632047181197,1.3000700916935244,0.3503063337973401,2.0380543315320616,45.0,0.4666666666666667,20
Georgia,Thomas,11.220173271252996,4.710279658395809,5.0,4.0,8.812043991411484,3.70968051071387,68.0,27.0,0.46927633855809014,-2.095386562177801,0.8636772486384163,-0.3687747038668228,-0.6100073412540491,0.23719933123119402,-1.7266118583109784,95.0,0.7157894736842105,20
Georgia,Tift,13.0117172529643,8.804958142610298,11.0,18.0,10.261192615805701,6.766159651220354,73.0,46.0,0.8511131327498025,-0.6280121132119044,1.9881873423248133,3.5349444224494238,-0.8484335586693315,0.1478823681895279,-4.162956535661328,119.0,0.6134453781512605,20
Georgia,Toombs,7.833955132653672,9.241686252256029,6.0,11.0,6.235745714242115,6.8290443021240375,47.0,42.0,0.7799418039259699,-0.7344200217485097,1.1804937771771054,0.6728471336974096,-0.41446877861774445,0.18156479402464176,-1.4072671554459193,89.0,0.5280898876404494,20
Georgia,Troup,23.61385297283114,9.099903270425498,9.0,4.0,18.044114207395456,6.3948638038778345,114.0,37.0,0.3939644158361405,-3.440305027216765,0.46875472317134564,-2.0167231761358946,-0.17381906325015076,0.109584473980217,-1.4235818510808702,151.0,0.7549668874172185,20
Georgia,Upson,5.491660376826925,3.7429865579235373,2.0,3.0,3.811561041113816,3.0556883020504895,25.0,25.0,0.4172466132541302,-1.788465450777797,0.824890664210083,-0.42503669976321534,-0.6815734036393641,0.3444934639283721,-1.3634287510145817,50.0,0.5,20
Georgia,Walton,6.473767296929088,10.3011127085036,7.0,5.0,4.968440545202222,7.529400400983334,37.0,49.0,1.0754588847985564,0.23608466897975752,0.5092067964136611,-1.9319097823899094,0.7476485052265978,0.18950768139999447,2.1679944513696667,86.0,0.43023255813953487,20
Georgia,Ware,11.436171998411165,10.208826079310525,8.0,8.0,8.856537904585817,7.434040939707028,58.0,45.0,0.7121211055882442,-1.1546301708868723,0.793737795071863,-0.810119427434572,-0.10850518473499643,0.13904795000178827,-0.34451074345230026,103.0,0.5631067961165048,20
Hawaii,Honolulu,8.124074345264448,99.11557263477415,9.0,92.0,5.826343471517792,70.04152211442816,33.0,381.0,1.1015674981068002,0.362885157047412,0.9285696759395003,-0.8502214716336807,0.17084402334197246,0.095406859018202,1.2131066286810928,414.0,0.07971014492753623,20
