State,City,shr_actual,shr_cleared,ra_actual,ra_cleared,agency_years,ratio_actual,q_shr,q_ra,d
Alabama,Choctaw,19,17,19.0,15.0,9,1.0,0.8947368421052632,0.7894736842105263,-0.10526315789473684
Alabama,Clarke,47,45,44.0,39.0,28,1.0681818181818181,0.9574468085106383,0.8863636363636364,-0.071083172147002
Alabama,Cleburne,29,19,28.0,12.0,19,1.0357142857142858,0.6551724137931034,0.42857142857142855,-0.22660098522167488
Alabama,Coffee,74,63,74.0,53.0,35,1.0,0.8513513513513513,0.7162162162162162,-0.1351351351351351
Alabama,Colbert,71,57,69.0,45.0,41,1.0289855072463767,0.8028169014084507,0.6521739130434783,-0.15064298836497247
Alabama,Coosa,38,30,38.0,20.0,26,1.0,0.7894736842105263,0.5263157894736842,-0.26315789473684215
Alabama,Covington,47,45,46.0,30.0,32,1.0217391304347827,0.9574468085106383,0.6521739130434783,-0.3052728954671601
Alabama,Crenshaw,39,38,39.0,23.0,21,1.0,0.9743589743589743,0.5897435897435898,-0.3846153846153846
Alabama,Cullman,51,43,52.0,31.0,31,0.9807692307692307,0.8431372549019608,0.5961538461538461,-0.24698340874811464
Alabama,Dale,74,68,73.0,57.0,46,1.0136986301369864,0.918918918918919,0.7808219178082192,-0.13809700111069978
Alabama,Dallas,163,141,162.0,113.0,40,1.0061728395061729,0.8650306748466258,0.6975308641975309,-0.16749981064909492
Alabama,De Kalb,34,26,34.0,23.0,23,1.0,0.7647058823529411,0.6764705882352942,-0.08823529411764697
Alabama,Elmore,109,95,108.0,74.0,57,1.0092592592592593,0.8715596330275229,0.6851851851851852,-0.1863744478423377
Alabama,Escambia,66,59,66.0,39.0,37,1.0,0.8939393939393939,0.5909090909090909,-0.303030303030303
Alabama,Etowah,236,185,234.0,123.0,72,1.0085470085470085,0.7838983050847458,0.5256410256410257,-0.2582572794437201
Alabama,Fayette,18,16,18.0,14.0,15,1.0,0.8888888888888888,0.7777777777777778,-0.11111111111111105
Alabama,Franklin,32,30,32.0,19.0,24,1.0,0.9375,0.59375,-0.34375
Alabama,Geneva,47,43,45.0,30.0,30,1.0444444444444445,0.9148936170212766,0.6666666666666666,-0.24822695035460995
Alabama,Greene,37,32,37.0,22.0,24,1.0,0.8648648648648649,0.5945945945945946,-0.2702702702702703
Alabama,Houston,192,158,190.0,121.0,51,1.0105263157894737,0.8229166666666666,0.6368421052631579,-0.18607456140350875
Alabama,Jackson,81,74,80.0,48.0,44,1.0125,0.9135802469135802,0.6,-0.3135802469135802
Alabama,Lamar,2,2,2.0,2.0,2,1.0,1.0,1.0,0.0
Alabama,Lauderdale,108,91,106.0,74.0,42,1.0188679245283019,0.8425925925925926,0.6981132075471698,-0.1444793850454228
Alabama,Lawrence,42,35,43.0,31.0,23,0.9767441860465116,0.8333333333333334,0.7209302325581395,-0.11240310077519389
Alabama,Lee,178,144,177.0,119.0,75,1.0056497175141244,0.8089887640449438,0.672316384180791,-0.13667237986415282
Alabama,Limestone,67,59,66.0,44.0,36,1.0151515151515151,0.8805970149253731,0.6666666666666666,-0.2139303482587065
