State,City,mean_Black,mean_White,size_Black,size_White,min_race_n,gap_pp,weight
Illinois,Kane,0.17647058823529413,0.18518518518518517,17.0,54.0,10,-0.8714596949891046,71.0
Illinois,Kankakee,0.56,0.45454545454545453,25.0,11.0,10,10.545454545454552,36.0
Illinois,Sangamon,0.5384615384615384,0.42857142857142855,13.0,14.0,10,10.989010989010989,27.0
Illinois,St. Clair,0.32857142857142857,0.40384615384615385,280.0,52.0,10,-7.527472527472528,332.0
Illinois,Will,0.2608695652173913,0.4107142857142857,46.0,56.0,10,-14.98447204968944,102.0
Illinois,Winnebago,0.7903225806451613,0.6363636363636364,62.0,44.0,10,15.39589442815249,106.0
Indiana,Allen,0.6266666666666667,0.5943396226415094,150.0,106.0,10,3.232704402515729,256.0
Indiana,Delaware,0.7,0.7894736842105263,10.0,19.0,10,-8.947368421052637,29.0
Indiana,Elkhart,0.8181818181818182,0.6571428571428571,33.0,35.0,10,16.10389610389611,68.0
Indiana,La Porte,0.5,0.45,10.0,20.0,10,4.999999999999999,30.0
Indiana,Lake,0.7001748251748252,0.6161616161616161,1144.0,297.0,10,8.401320901320908,1441.0
Indiana,Marion,0.6801909307875895,0.6481481481481481,838.0,324.0,10,3.204278263944138,1162.0
Indiana,St. Joseph,0.7868852459016393,0.8181818181818182,122.0,88.0,10,-3.1296572280178903,210.0
Indiana,Vanderburgh,0.5,0.5789473684210527,16.0,19.0,10,-7.8947368421052655,35.0
Iowa,Polk,0.8695652173913043,0.7222222222222222,23.0,54.0,10,14.734299516908212,77.0
Kansas,Sedgwick,0.6428571428571429,0.6721311475409836,56.0,61.0,10,-2.927400468384067,117.0
Kansas,Shawnee,0.6111111111111112,0.7878787878787878,36.0,33.0,10,-17.676767676767668,69.0
Kansas,Wyandotte,0.8688524590163934,0.8352941176470589,122.0,85.0,10,3.3558341369334554,207.0
Kentucky,Christian,0.6923076923076923,0.9285714285714286,13.0,14.0,10,-23.62637362637363,27.0
Kentucky,Fayette,0.7333333333333333,0.8472222222222222,60.0,72.0,10,-11.388888888888893,132.0
Kentucky,Jefferson,0.6864608076009501,0.6496815286624203,421.0,157.0,10,3.6779278938529725,578.0
Kentucky,Warren,0.7692307692307693,0.782608695652174,13.0,23.0,10,-1.3377926421404673,36.0
Louisiana,Bossier,0.5,0.3333333333333333,10.0,12.0,10,16.666666666666668,22.0
Louisiana,Caddo,0.49823321554770317,0.6901408450704225,283.0,71.0,10,-19.190762952271932,354.0
Louisiana,Calcasieu,0.5,0.8076923076923077,22.0,26.0,10,-30.76923076923077,48.0
Louisiana,East Baton Rouge,0.7338129496402878,0.6276595744680851,556.0,94.0,10,10.615337517220269,650.0
Louisiana,Jefferson,0.7163120567375887,0.4536082474226804,282.0,97.0,10,26.270380931490827,379.0
Louisiana,Lafayette,0.6296296296296297,0.6666666666666666,27.0,48.0,10,-3.703703703703698,75.0
Louisiana,Orleans,0.7419072615923009,0.5735294117647058,3429.0,408.0,10,16.83778498275951,3837.0
Louisiana,Ouachita,0.525,0.5714285714285714,40.0,14.0,10,-4.642857142857137,54.0
Louisiana,Rapides,0.6571428571428571,0.625,35.0,24.0,10,3.214285714285714,59.0
Louisiana,St. Tammany,0.5454545454545454,0.5897435897435898,11.0,39.0,10,-4.428904428904435,50.0
