model,attribute,criterion,lambda,n_eval,acc_auc,acc_mcc,acc_f1,acc_sensitivity,acc_specificity,acc_balanced_accuracy,acc_precision,dp_gap,dp_amplification,dp_amplification_lo,dp_amplification_hi,tpr_gap,tpr_amplification,base_rate_gap,groups,thresholds
graphsage_geo,Victim Race,dp,0.0,28549,0.7102985410525524,0.28115133925040076,0.7218881708345041,0.6595810227972889,0.6398104265402843,0.6496957246687867,0.7971949857266973,0.10817650561209236,2.2826852370653183,1.826856809029975,3.000284172528169,0.08538053341584617,1.801656302894368,0.047390022879881144,Black | White,Black=0.500; White=0.500
graphsage_geo,Victim Sex,tpr,0.3,28549,0.7102985410525524,0.27846776215438274,0.7206027042982037,0.658092010679811,0.6384878210073845,0.6482899158435977,0.7962353233521774,0.14673967268221422,1.7092909544084105,1.4683635421136618,1.9895081193760198,0.12638517775343494,1.4721924695381272,0.08584827077201795,Male | Female,Female=0.529; Male=0.494
graphsage_geo,Victim Sex,tpr,0.4,28549,0.7102985410525524,0.2789228495308533,0.7207713715458354,0.6582460464161018,0.6388184723906095,0.6485322594033557,0.7964216934832578,0.12772329903411228,1.4877795194419152,1.2762459590862287,1.7599124953376823,0.10905926555349665,1.2703723042147084,0.08584827077201795,Male | Female,Female=0.537; Male=0.492
graphsage_geo,Victim Sex,tpr,0.5,28549,0.7102985410525524,0.2789223145767025,0.7207197076187799,0.6581433559252413,0.6389286895183511,0.6485360227217962,0.7964458804523424,0.107110276176276,1.2476695827772963,1.0479644499791363,1.4643356244198362,0.08999728134444906,1.048329576532175,0.08584827077201795,Male | Female,Female=0.546; Male=0.490
graphsage_geo,Victim Sex,tpr,0.6,28549,0.7102985410525524,0.27977962885944146,0.7208144669122817,0.6579893201889505,0.6400308607957677,0.649010090492359,0.7969031776630806,0.0880181025305743,1.0252751947015757,0.8569743720717564,1.240694639200849,0.07129679869777539,0.8304977847150116,0.08584827077201795,Male | Female,Female=0.553; Male=0.489
graphsage_geo,Victim Sex,tpr,0.7,28549,0.7102985410525524,0.277858575983035,0.720119241802126,0.6573731772437872,0.6385980381351262,0.6479856076894567,0.7961074493222237,0.06593235936751585,0.7680103370120106,0.6089151126403682,0.9542755169566626,0.049943863744168815,0.5817690128762373,0.08584827077201795,Male | Female,Female=0.560; Male=0.486
graphsage_geo,Victim Sex,tpr,0.8,28549,0.7102985410525524,0.27649270068075366,0.7195094509450946,0.6567056890531937,0.6378265182409346,0.6472661036470642,0.7955959193829311,0.04739630493651048,0.5520938804041606,0.38622859468338727,0.725508075770416,0.03190541353708465,0.37164887830779864,0.08584827077201795,Male | Female,Female=0.567; Male=0.485
graphsage_geo,Victim Sex,tpr,0.9,28549,0.7102985410525524,0.27558424790813185,0.71937914745248,0.6568083795440542,0.6367243469635181,0.6467663632537861,0.7951268025857782,0.029580244405135736,0.34456424269383595,0.19148616828870463,0.5105201186775884,0.01553159953634975,0.18091918913074062,0.08584827077201795,Male | Female,Female=0.575; Male=0.482
graphsage_geo,Victim Sex,tpr,1.0,28549,0.7102985410525524,0.2728001761603281,0.7177076589636051,0.6546005339905525,0.6360630441970683,0.6453317890938104,0.794280730172575,0.005926492975058761,0.06903450613230626,0.0026390129349216996,0.23745042126859434,0.008493807949166765,0.09893976748492996,0.08584827077201795,Male | Female,Female=0.583; Male=0.481
graphsage_geo_blind,Victim Race,dp,0.0,28549,0.6968285095060971,0.26594422633395465,0.6983815028901734,0.6203532552885603,0.6647194974098976,0.6425363763492289,0.7988627347262629,0.06843100953657844,1.44399612783538,1.132457544006037,1.9247692225808397,0.041985904272235475,0.8859650559497847,0.047390022879881144,Black | White,Black=0.500; White=0.500
graphsage_geo_blind,Victim Race,dp,0.1,28549,0.6968285095060971,0.26613298349572423,0.6986420109794858,0.6207640172520025,0.6644990631544142,0.6426315402032083,0.7988634861900357,0.06185533205958604,1.3052395483405848,1.010936987730334,1.7421019092263021,0.03524381925852016,0.7436970298126294,0.047390022879881144,Black | White,Black=0.498; White=0.501
graphsage_geo_blind,Victim Race,dp,0.2,28549,0.6968285095060971,0.26653613719795716,0.698777774567309,0.620866707742863,0.6648297145376392,0.6428482111402511,0.7990484371902464,0.05136033304180887,1.0837794523119606,0.8185736184067532,1.4526592479289233,0.025218482144042542,0.5321474988092639,0.047390022879881144,Black | White,Black=0.496; White=0.503
graphsage_geo_blind,Victim Race,dp,0.3,28549,0.6968285095060971,0.2661402907002459,0.6985319616229337,0.6205586362702814,0.6647194974098976,0.6426390668400894,0.7989159175039662,0.04390058648955286,0.9263676998178939,0.6731030868268345,1.2633330306409267,0.016838675905972655,0.3553211178786181,0.047390022879881144,Black | White,Black=0.495; White=0.504
graphsage_geo_blind,Victim Race,dp,0.4,28549,0.6968285095060971,0.2653034708456623,0.6979473836368892,0.6197884575888273,0.6646092802821558,0.6421988689354916,0.7986634908032288,0.03762378165443225,0.7939177777946372,0.5617737920547711,1.1109263412481236,0.01071549961932905,0.22611298683036055,0.047390022879881144,Black | White,Black=0.493; White=0.505
